Year,Round,Event,Driver,LapNumber,LapTime,GapToWinner,TyreLife,Stint,StintLap,TireDegradation,Compound_SOFT,Compound_MEDIUM,Compound_HARD,TrackTemp
2024,1,Bahrain Grand Prix,LEC,14.0,96.756,34.665,3.0,2.0,3.0,0.32399999999999807,False,False,True,30.0
2024,1,Bahrain Grand Prix,LEC,15.0,96.813,34.393,4.0,2.0,4.0,0.05700000000000216,False,False,True,30.0
2024,1,Bahrain Grand Prix,LEC,16.0,96.673,34.195,5.0,2.0,5.0,-0.14000000000000057,False,False,True,30.0
2024,1,Bahrain Grand Prix,LEC,17.0,97.302,33.7,6.0,2.0,6.0,0.6290000000000049,False,False,True,30.0
2024,1,Bahrain Grand Prix,LEC,18.0,97.438,31.106,7.0,2.0,7.0,0.13599999999999568,False,False,True,30.0
2024,1,Bahrain Grand Prix,LEC,19.0,96.821,10.69,8.0,2.0,8.0,-0.6170000000000044,False,False,True,30.0
2024,1,Bahrain Grand Prix,LEC,20.0,96.794,12.228,9.0,2.0,9.0,-0.027000000000001023,False,False,True,30.0
2024,1,Bahrain Grand Prix,LEC,21.0,96.977,13.862,10.0,2.0,10.0,0.18300000000000693,False,False,True,30.0
2024,1,Bahrain Grand Prix,LEC,22.0,96.796,15.523,11.0,2.0,11.0,-0.18099999999999739,False,False,True,30.0
2024,1,Bahrain Grand Prix,LEC,23.0,96.987,17.115,12.0,2.0,12.0,0.1909999999999883,False,False,True,30.0
2024,1,Bahrain Grand Prix,LEC,24.0,96.924,18.886,13.0,2.0,13.0,-0.06299999999998818,False,False,True,30.0
2024,1,Bahrain Grand Prix,LEC,25.0,96.76,20.521,14.0,2.0,14.0,-0.16400000000000148,False,False,True,30.0
2024,1,Bahrain Grand Prix,LEC,26.0,96.81,21.939,15.0,2.0,15.0,0.04999999999999716,False,False,True,30.0
2024,1,Bahrain Grand Prix,LEC,27.0,96.831,23.526,16.0,2.0,16.0,0.021000000000000796,False,False,True,30.0
2024,1,Bahrain Grand Prix,LEC,28.0,96.907,24.776,17.0,2.0,17.0,0.0759999999999934,False,False,True,30.0
2024,1,Bahrain Grand Prix,LEC,29.0,96.963,26.206,18.0,2.0,18.0,0.055999999999997385,False,False,True,30.0
2024,1,Bahrain Grand Prix,LEC,30.0,97.158,27.376,19.0,2.0,19.0,0.1950000000000074,False,False,True,30.0
2024,1,Bahrain Grand Prix,LEC,31.0,97.031,28.763,20.0,2.0,20.0,-0.12699999999999534,False,False,True,30.0
2024,1,Bahrain Grand Prix,LEC,32.0,96.941,30.115,21.0,2.0,21.0,-0.09000000000000341,False,False,True,30.0
2024,1,Bahrain Grand Prix,LEC,33.0,96.741,31.17,22.0,2.0,22.0,-0.20000000000000284,False,False,True,30.0
2024,1,Bahrain Grand Prix,LEC,34.0,99.614,32.048,23.0,2.0,23.0,2.8730000000000047,False,False,True,30.0
2024,1,Bahrain Grand Prix,LEC,35.0,116.166,35.529,1.0,3.0,1.0,0.0,False,False,True,30.0
2024,1,Bahrain Grand Prix,LEC,36.0,94.09,55.677,2.0,3.0,2.0,-22.075999999999993,False,False,True,30.0
2024,1,Bahrain Grand Prix,LEC,37.0,94.897,53.562,3.0,3.0,3.0,0.8070000000000022,False,False,True,30.0
2024,1,Bahrain Grand Prix,LEC,38.0,94.783,49.225,4.0,3.0,4.0,-0.11400000000000432,False,False,True,30.0
2024,1,Bahrain Grand Prix,LEC,39.0,95.087,27.563,5.0,3.0,5.0,0.30400000000000205,False,False,True,30.0
2024,1,Bahrain Grand Prix,LEC,40.0,94.859,30.042,6.0,3.0,6.0,-0.22800000000000864,False,False,True,30.0
2024,1,Bahrain Grand Prix,LEC,41.0,95.028,28.312,7.0,3.0,7.0,0.16900000000001114,False,False,True,30.0
2024,1,Bahrain Grand Prix,LEC,42.0,94.982,28.05,8.0,3.0,8.0,-0.04600000000000648,False,False,True,30.0
